phibin,etabin,calib_factor
2, 61, 0.572136
2, 62, 0.83217
2, 63, 0.76585
2, 64, 0.897675
2, 65, 0.816199
2, 66, 0.653283
2, 67, 0.622722
2, 68, 1.1504
2, 69, 0.975282
2, 70, 0.758119
2, 71, 0.78655
2, 72, 0.891405
2, 73, 0.809127
2, 74, 0.68263
2, 75, 0.888218
2, 76, 1.23649
2, 77, 0.901793
2, 78, 0.768588
2, 79, 0.774251
2, 80, 0.995376
2, 81, 0.623006
2, 82, 1.08444
2, 83, 1.2399
2, 84, 0.862585
2, 85, 0.993506
2, 86, 0.968035
2, 87, 0.872209
2, 88, 0.99898
2, 89, 0.850153
2, 90, 0.789065
2, 91, 0.709009
2, 92, 0.776348
2, 93, 0.618661
2, 94, 0.923484
2, 95, 0.876377
3, 0, 0.993527
3, 1, 0.919236
3, 2, 0.688644
3, 3, 0.864585
3, 4, 1.01344
3, 5, 0.931635
3, 6, 1.0331
3, 7, 0.941252
3, 8, 0.799073
3, 9, 0.895447
3, 10, 0.733637
3, 11, 0.741005
3, 12, 0.646405
3, 13, 0.78316
3, 14, 0.679624
3, 15, 0.951232
3, 16, 0.620712
3, 17, 0.676707
3, 18, 0.645206
3, 19, 0.658864
3, 20, 0.769205
3, 21, 0.824191
3, 22, 0.715549
3, 23, 0.762311
3, 24, 0.840789
3, 25, 0.872204
3, 26, 0.969787
3, 27, 0.956045
3, 28, 0.702892
3, 29, 0.780543
3, 30, 0.851942
3, 31, 0.916883
3, 32, 0.710831
3, 33, 0.762071
3, 34, 0.814385
3, 35, 0.885704
3, 36, 0.723911
3, 37, 0.831959
3, 38, 0.888384
3, 39, 0.922456
3, 40, 0.993544
3, 41, 0.602691
3, 42, 0.70609
3, 43, 0.575665
3, 44, 0.848122
3, 45, 0.82372
3, 46, 0.993562
3, 47, 1.71462
3, 48, 0.959912
3, 49, 0.914511
3, 50, 1.1878
3, 51, 1.00855
3, 52, 1.10989
3, 53, 0.986892
3, 54, 0.930891
3, 55, 0.860695
3, 56, 0.774337
3, 57, 0.824802
3, 58, 0.865249
3, 59, 0.942651
3, 60, 0.911056
3, 61, 0.803523
3, 62, 0.829999
3, 63, 0.774379
3, 64, 1.06404
3, 65, 0.968455
3, 66, 0.708657
3, 67, 0.665942
3, 68, 0.979542
3, 69, 0.910885
3, 70, 0.841998
3, 71, 0.599948
3, 72, 1.09777
3, 73, 1.05574
3, 74, 0.582799
3, 75, 0.811353
3, 76, 1.28238
3, 77, 0.900085
3, 78, 0.984822
3, 79, 0.810322
3, 80, 0.853275
3, 81, 0.964211
3, 82, 1.00822
3, 83, 0.906346
3, 84, 0.936009
3, 85, 0.747849
3, 86, 0.840813
3, 87, 0.878435
3, 88, 0.981949
3, 89, 0.990911
3, 90, 0.863537
3, 91, 0.675166
3, 92, 0.714738
3, 93, 0.993586
3, 94, 0.817558
3, 95, 0.993605
4, 0, 0.914268
4, 1, 0.950387
4, 2, 0.721194
4, 3, 0.757531
4, 4, 0.607469
4, 5, 0.678619
4, 6, 0.840995
4, 7, 0.89532
4, 8, 0.733473
4, 9, 0.81455
4, 10, 0.726019
4, 11, 0.918338
4, 12, 0.993909
4, 13, 0.993928
4, 14, 0.798879
4, 15, 1.02956
4, 16, 0.756558
4, 17, 0.934803
4, 18, 0.647674
4, 19, 0.758685
4, 20, 0.757759
4, 21, 0.642955
4, 22, 0.855792
4, 23, 0.894941
4, 24, 0.830665
4, 25, 0.864999
4, 26, 0.927218
4, 27, 1.0684
4, 28, 0.717335
4, 29, 0.874493
4, 30, 0.872738
4, 31, 0.924382
4, 32, 0.933701
4, 33, 1.02502
4, 34, 0.750214
4, 35, 0.843784
4, 36, 0.778889
4, 37, 0.736399
4, 38, 0.993946
4, 39, 0.993966
4, 40, 0.861036
4, 41, 0.834485
4, 42, 0.835132
4, 43, 0.728718
4, 44, 0.779878
4, 45, 0.90625
4, 46, 0.727996
4, 47, 0.993985
4, 48, 0.638204
4, 49, 1.3336
4, 50, 0.78219
4, 51, 1.04446
4, 52, 0.887626
4, 53, 0.986106
4, 54, 0.688504
4, 55, 0.806821
4, 56, 0.723099
4, 57, 0.715963
4, 58, 0.859776
4, 59, 0.843052
4, 60, 0.814645
4, 61, 0.778819
4, 62, 0.739012
4, 63, 0.592837
4, 64, 0.853117
4, 65, 0.820674
4, 66, 0.815588
4, 67, 0.675663
4, 68, 0.72587
4, 69, 0.782767
4, 70, 0.758012
4, 71, 0.993949
4, 72, 0.917399
4, 73, 0.867608
4, 74, 0.965126
4, 75, 0.96101
4, 76, 0.614246
4, 77, 0.572156
4, 78, 0.793935
4, 79, 0.759482
4, 80, 0.969701
4, 81, 0.85481
4, 82, 0.786388
4, 83, 0.769132
4, 84, 1.14843
4, 85, 0.95965
4, 86, 0.900929
4, 87, 1.01791
4, 88, 0.993967
4, 89, 0.69385
4, 90, 0.93164
4, 91, 0.993989
4, 92, 1.09939
4, 93, 1.02042
4, 94, 0.793691
4, 95, 0.65268
5, 0, 0.796365
5, 1, 0.996052
5, 2, 0.71376
5, 3, 0.84535
5, 4, 0.693759
5, 5, 0.673564
5, 6, 0.652355
5, 7, 0.79969
5, 8, 0.731416
5, 9, 0.78649
5, 10, 0.763288
5, 11, 0.676168
5, 12, 0.994009
5, 13, 0.769261
5, 14, 0.809006
5, 15, 1.05452
5, 16, 0.78296
5, 17, 0.891276
5, 18, 0.994028
5, 19, 0.618138
5, 20, 0.684231
5, 21, 0.643226
5, 22, 0.81651
5, 23, 0.791059
5, 24, 0.822038
5, 25, 0.96488
5, 26, 1.12202
5, 27, 1.08963
5, 28, 0.847312
5, 29, 0.829758
5, 30, 0.889343
5, 31, 0.970521
5, 32, 0.940482
5, 33, 0.926413
5, 34, 0.606222
5, 35, 0.760198
5, 36, 0.744887
5, 37, 0.851716
5, 38, 0.609187
5, 39, 0.994046
5, 40, 0.85241
5, 41, 0.899921
5, 42, 0.842647
5, 43, 0.866726
5, 44, 0.800398
5, 45, 0.819748
5, 46, 0.994069
5, 47, 0.994039
5, 48, 1.03631
5, 49, 1.09149
5, 50, 1.04594
5, 51, 1.02468
5, 52, 0.9326
5, 53, 0.9854
5, 54, 0.74452
5, 55, 0.897345
5, 56, 0.7114
5, 57, 0.656444
5, 58, 0.983763
5, 59, 0.9434
5, 60, 0.74373
5, 61, 0.728859
5, 62, 0.622933
5, 63, 0.623298
5, 64, 0.819985
5, 65, 0.797949
5, 66, 0.774026
5, 67, 0.774591
5, 68, 0.630968
5, 69, 0.638095
5, 70, 0.686251
5, 71, 0.673789
5, 72, 0.918443
5, 73, 0.983072
5, 74, 1.00145
5, 75, 1.07152
5, 76, 0.587342
5, 77, 0.993999
5, 78, 0.750205
5, 79, 0.721804
5, 80, 0.926215
5, 81, 0.954432
5, 82, 0.819017
5, 83, 0.706168
5, 84, 1.3665
5, 85, 0.891552
5, 86, 1.02085
5, 87, 0.827547
5, 88, 0.994019
5, 89, 0.621687
5, 90, 0.937513
5, 91, 0.779373
5, 92, 0.927335
5, 93, 0.952702
5, 94, 0.703111
5, 95, 0.994038
6, 0, 1.07529
6, 1, 1.06995
6, 2, 0.742666
6, 3, 0.741038
6, 4, 0.950174
6, 5, 0.943874
6, 6, 0.80628
6, 7, 0.895226
6, 8, 0.779582
6, 9, 0.718366
6, 10, 0.778801
6, 11, 0.828272
6, 12, 0.624999
6, 13, 0.801572
6, 14, 0.994065
6, 15, 0.851978
6, 16, 0.999385
6, 17, 1.15106
6, 18, 0.664904
6, 19, 0.591892
6, 20, 0.77897
6, 21, 0.960923
6, 22, 1.02274
6, 23, 1.01074
6, 24, 0.915031
6, 25, 1.07625
6, 26, 0.967955
6, 27, 0.927359
6, 28, 1.12117
6, 29, 1.06259
6, 30, 0.860711
6, 31, 0.846771
6, 32, 0.781969
6, 33, 0.84188
6, 34, 0.733941
6, 35, 0.780237
6, 36, 0.743756
6, 37, 0.706247
6, 38, 0.646575
6, 39, 0.708276
6, 40, 0.652558
6, 41, 0.644832
6, 42, 0.973404
6, 43, 0.934079
6, 44, 0.92472
6, 45, 1.02257
6, 46, 1.61219
6, 47, 1.25432
6, 48, 0.939479
6, 49, 1.16488
6, 50, 0.898218
6, 51, 0.923783
6, 52, 1.06797
6, 53, 1.10487
6, 54, 0.82857
6, 55, 0.878899
6, 56, 0.880499
6, 57, 0.790683
6, 58, 0.784098
6, 59, 0.790266
6, 60, 0.978968
6, 61, 0.876353
6, 62, 0.983781
6, 63, 0.703775
6, 64, 0.943233
6, 65, 0.900382
6, 66, 0.99435
6, 67, 0.994369
6, 68, 0.808118
6, 69, 0.845012
6, 70, 0.916045
6, 71, 0.744003
6, 72, 1.06524
6, 73, 0.972385
6, 74, 0.850205
6, 75, 0.866548
6, 76, 0.74734
6, 77, 0.994387
6, 78, 1.12318
6, 79, 1.03825
6, 80, 0.829964
6, 81, 0.864262
6, 82, 1.36378
6, 83, 1.35227
6, 84, 0.689139
6, 85, 0.581418
6, 86, 1.02348
6, 87, 0.872392
6, 88, 1.59557
6, 89, 1.47763
6, 90, 0.956834
6, 91, 0.852263
6, 92, 0.94772
6, 93, 0.730427
6, 94, 0.957667
6, 95, 0.994405
7, 0, 1.5712
7, 1, 1.24456
7, 2, 0.63429
7, 3, 0.74749
7, 4, 1.04947
7, 5, 0.978081
7, 6, 0.776419
7, 7, 0.821474
7, 8, 0.606266
7, 9, 0.864608
7, 10, 0.780138
7, 11, 0.840285
7, 12, 1.10654
7, 13, 1.04621
7, 14, 0.737197
7, 15, 0.778796
7, 16, 1.16259
7, 17, 1.31408
7, 18, 0.704038
7, 19, 0.752176
7, 20, 0.813743
7, 21, 0.729152
7, 22, 0.807572
7, 23, 0.955422
7, 24, 0.973665
7, 25, 0.969046
7, 26, 0.937107
7, 27, 0.80343
7, 28, 0.984168
7, 29, 1.14381
7, 30, 0.70544
7, 31, 0.712879
7, 32, 0.690447
7, 33, 0.696666
7, 34, 0.63839
7, 35, 0.658405
7, 36, 0.614787
7, 37, 0.994426
7, 38, 0.667383
7, 39, 0.994447
7, 40, 0.994466
7, 41, 0.668667
